Ano;Mês;Tipo Operação;Código Abreviado Produto;Nome SKU;volume;caixas;unidades;faturamento;cobertura
2023;6;"CENTRAL";9274;"PEPSI ZERO LATA 350ML SH C/12 NPAL";79,59;1895;22740;45421,9;732
2023;6;"CENTRAL";9096;"PEPSI COLA LATA 350ML SH C/12 NPAL";175,28;4173;50080;102387,44;1112
2023;6;"CENTRAL";9087;"SODA LIMONADA ANTARCTICA LATA 350ML SH C/12 NPAL";36,16;861;10332;21405,93;421
2023;6;"CENTRAL";9089;"SUKITA LATA 350ML SH C/12 NPAL";220,67;5254;63049;127674,35;1714
2023;6;"CENTRAL";9085;"GUARANA CHP ANTARCTICA DIET LATA 350ML SH C/12 NPAL";37,34;889;10668;22123,79;356
2023;6;"CENTRAL";9092;"TONICA ANTARCTICA DIET LATA 350ML SH C/12 NPAL";27,01;643;7716;19448,1;227
2023;6;"CENTRAL";9084;"GUARANA CHP ANTARCTICA LATA 350ML SH C/12 NPAL";334,53;7965;95580;200309,92;1599
2023;6;"CENTRAL";18266;"PEPSI COLA PET 200ML SH C/12";93,25;3885;46625;59917,26;1156
2023;6;"CENTRAL";18268;"SUKITA PET 200ML SH C/12";59,55;2481;29773;38175,18;861
2023;6;"CENTRAL";22259;"SUKITA UVA PET 200ML SH C/12";30,49;1270;15243;19418,58;464
2023;6;"CENTRAL";4293;"PEPSI BLACK PET 200ML SH C/12";8,18;341;4092;5560,1;209
2023;6;"CENTRAL";18267;"SODA LIMONADA ANTARCTICA PET 200ML SH C/12";13,68;570;6840;8789,6;282
2023;6;"CENTRAL";18152;"GUARANA CHP ANTARCTICA PET 200ML SH C/12";179,54;7481;89772;121307,93;1996
2023;6;"CENTRAL";13061;"H2OH LIMONETO PET 500ML SHRINK C/12 NPAL";273,06;4551;54612;167823,58;1415
2023;6;"CENTRAL";8791;"H2OH LIMÃO C/GAS PET 500ML CAIXA C/12";217,92;3632;43584;134555,42;1358
2023;6;"CENTRAL";19225;"RED BULL BR LATA 250ML CX C 24 NPAL .";91,38;1523;36552;269606,09;548
2023;6;"CENTRAL";7703;"PEPSI COLA PET 1L CAIXA C/6";123,65;2061;12365;38990,22;644
2023;6;"CENTRAL";2132;"GUARANA CHP ANTARCTICA PET 1L CAIXA C/6 NOVA RIO";647,69;10795;64769;223484,82;1760
2023;6;"CENTRAL";253;"SUKITA PET 1L CAIXA C/6";245,57;4093;24557;83511,37;1189
2023;6;"CENTRAL";13486;"FUSION PET 1L SH C/06";36,74;612;3674;18301,92;203
2023;6;"CENTRAL";7982;"GATORADE LIMÃO PET 500ML SIXPACK";86,88;2896;17376;72034,9;1034
2023;6;"CENTRAL";7985;"GATORADE MARACUJA PET 500ML SIXPACK";46,79;1560;9358;38742,83;607
2023;6;"CENTRAL";7980;"GATORADE TANGERINA PET 500ML SIXPACK";67,47;2249;13494;55937,26;745
2023;6;"CENTRAL";7981;"GATORADE LARANJA PET 500ML SIXPACK";70,09;2336;14018;58536,68;902
2023;6;"CENTRAL";7979;"GATORADE FRUTAS CITRICAS PET 500ML SIXPACK";52,74;1758;10548;43855,47;639
2023;6;"CENTRAL";7977;"GATORADE UVA PET 500ML SIXPACK";112,02;3734;22404;93050,1;1199
2023;6;"CENTRAL";7983;"GATORADE MORANGO-MARACUJA PET 500ML SIXPACK";115,59;3853;23118;96253,29;1302
2023;6;"CENTRAL";14844;"GUARANA CHP ANTARCTICA LT 269ML SH C/15";792,04;19629;294439;498866,52;2813
2023;6;"CENTRAL";14842;"PEPSI COLA LT 269ML SH C/15";245,67;6088;91326;156075,13;1380
2023;6;"CENTRAL";19305;"TONICA ANTARCTICA ZERO LT 269ML SH C/15";3,07;76;1140;1964,71;36
2023;6;"CENTRAL";19303;"TONICA ANTARCTICA LT 269ML SH C/15";13,32;330;4950;8628,54;107
2023;6;"CENTRAL";19229;"RED BULL BR LATA 250ML SIX PACK NPAL .";118,03;7869;47214;346751,75;1740
2023;6;"CENTRAL";8919;"GUARANA CHP ANTARCTICA PET 600ML CX12 NPAL";56,38;783;9396;31894,4;321
2023;6;"CENTRAL";8921;"GUARANA CHP ANTARCTICA DIET PET 600ML CX12 NPAL";4,9;68;816;2619,56;45
2023;6;"CENTRAL";8931;"SUKITA PET 600ML CX12 NPAL";4,46;62;744;2419,72;45
2023;6;"CENTRAL";8923;"PEPSI COLA PET 600ML CX12 NPAL";4,18;58;696;2283,4;41
2023;6;"CENTRAL";21666;"RED BULL TROPICAL BR LATA 250ML FOUR PACK NPAL .";9,16;916;3664;26866,4;281
2023;6;"CENTRAL";24306;"RED BULL MELANCIA LATA 250ML FOUR PACK NPAL";5,79;579;2317;16846,25;250
2023;6;"CENTRAL";19231;"RED BULL SUGAR FREE BR LATA 250ML FOUR PACK NPAL .";3,47;347;1388;10197,62;132
2023;6;"CENTRAL";8418;"PEPSI COLA PET 1500 CX06";47,79;531;3186;12636,24;154
2023;6;"CENTRAL";19164;"GUARANA CHP ANTARCTICA PET 1L PACK C/2 MULTPACK";525,66;26283;52566;148065,09;1528
2023;6;"CENTRAL";8411;"GUARANA CHP ANTARCTICA PET 1,5 SHRINK C/6";546,14;6068;36409;145858,16;1088
2023;6;"CENTRAL";29148;"FUSION LATA 250ML SH C 15";0,68;18;270;745,2;15
2023;6;"CENTRAL";7947;"GUARANA CHP ANTARCTICA PET 2,5L CAIXA C/6";176,1;1174;7044;50923,43;230
2023;6;"CENTRAL";8793;"H2OH LIMÃO C/GAS PET 1,5L CAIXA C/6";40,77;453;2718;13028,94;153
2023;6;"CENTRAL";13065;"H2OH LIMONETO PET 1,5 SHRINK C/06 NPAL";84,69;941;5646;27041,49;251
2023;6;"CENTRAL";2231;"GUARANA CHP ANTARCTICA 290ML";14,89;428;5136;7591,72;87
2023;6;"CENTRAL";19227;"RED BULL BR LATA 355ML FOUR PACK .";3,02;213;852;7525,98;63
2023;6;"CENTRAL";9093;"PEPSI TWIST LATA 350ML SH C/12 NPAL";5,25;125;1500;3034,68;66
2023;6;"CENTRAL";21441;"SUKITA LIMAO PET 2L CAIXA C/6";14,9;124;745;3405,24;46
2023;6;"CENTRAL";17163;"BARE GUARANA PET 1L CAIXA C/6";755,82;12597;75582;175702,95;1215
2023;6;"CENTRAL";10389;"BARE GUARANA LATA 350ML CAIXA C/12 NPAL";169,85;4044;48528;97456,82;753
2023;6;"CENTRAL";18341;"PEPSI COLA PET 3000 ML C/04 SHRINK LISO .";28,02;234;934;7178,23;55
2023;6;"CENTRAL";29143;"PEPSI BLACK PET 1 L SH C/06 NPAL";32,76;546;3276;11029,15;191
2023;6;"CENTRAL";19321;"GUARANA ANTARCTICA ZERO PET 200ML SH C/12";1,44;60;720;1022,4;39
2023;6;"CENTRAL";20943;"BARE GUARANA PET 200ML SH C/12";13,15;548;6576;9024,24;210
2023;6;"CENTRAL";19309;"TONICA ANTARCTICA GENGIBRE LT 269ML SH C/15";2,95;73;1095;1845,01;39
2023;6;"CENTRAL";19307;"TONICA ANTARCTICA 3 LIMOES LT 269ML SH C/15";3,71;92;1380;2363,43;54
2023;6;"CENTRAL";22200;"TONICA ANTARCTICA PET 1 L SH C/06";6,72;112;672;3927,62;52
2023;6;"CENTRAL";11593;"PEPSI COLA GFA VD 1L";5,88;49;588;2124,96;30
2023;6;"CENTRAL";7945;"PEPSI COLA PET 2,5L CAIXA C/6";4,2;28;168;1188,96;17
2023;6;"CENTRAL";2354;"SODA LIMONADA ANTARCTICA DIET PET 2L CAIXA C/6";3,48;29;174;807,48;13
2023;6;"CENTRAL";22202;"TONICA ANTARCTICA ZERO PET 1L SH C/06";0,06;1;6;33,54;1
2023;6;"CENTRAL";8933;"SODA LIMONADA ANTARCTICA PET 600ML CX12 NPAL";1,37;19;228;743,28;16
2023;6;"CENTRAL";26607;"RED BULL PITAYA LATA 250ML FOUR PACK NPAL";0,06;6;24;177,04;4
2023;6;"CENTRAL";8413;"GUARANA CHP ANTARCTICA DIET PET 1,5 SHRINK C/6";0,99;11;66;274,58;5
2023;6;"CENTRAL";19228;"RED BULL BR LATA 250ML FOUR PACK NPAL .";0,04;4;15;80,22;1
2023;6;"CENTRAL";1732;"H2OH LIMON PET 500ML CAIXA C/12";0;0;1;4;1
2023;6;"CENTRAL";9088;"SODA LIMONADA ANTARCTICA DIET LATA 350ML SH C/12 NPAL";0,5;12;144;291,02;8
2023;6;"CDD";21441;"SUKITA LIMAO PET 2L CAIXA C/6";77,16;643;3858;16964,67;218
2023;6;"CDD";2353;"GUARANA CHP ANTARCTICA DIET PET 2L CAIXA C/6";1159,32;9661;57966;347914,5;2204
2023;6;"CDD";2350;"SODA LIMONADA ANTARCTICA PET 2L CAIXA C/6";680,64;5672;34032;150864,87;1866
2023;6;"CDD";2585;"GUARANA CHP ANTARCTICA GFA VD 1L";281,64;2347;28164;98563,44;594
2023;6;"CDD";1166;"SUKITA UVA PET 2L CAIXA C/6";819,96;6833;40998;176560,18;1311
2023;6;"CDD";4409;"PEPSI TWIST PET 2L SHRINK C/6";320,52;2671;16026;82586,24;816
2023;6;"CDD";25700;"FUSION PET 2L SHRINK C/6";346,56;2888;17328;113360,92;193
2023;6;"CDD";23163;"SUKITA TUBAINA PET 2L SHRINK C/6";104,64;872;5232;22099,55;151
2023;6;"CDD";18341;"PEPSI COLA PET 3000 ML C/04 SHRINK LISO .";105,72;881;3524;26988,75;143
2023;6;"CDD";11593;"PEPSI COLA GFA VD 1L";35,88;299;3588;12819,44;141
2023;6;"CDD";18137;"GUARANA CHP ANTARCTICA PET 3L C/04 SHRINK LISO";319,92;2666;10664;78326,44;261
2023;6;"CDD";2357;"BARE GUARANA PET 2L CAIXA C/6";12348,12;102901;617406;2206679,73;6984
2023;6;"CDD";9276;"PEPSI ZERO PET 2L CAIXA C/6";1527;12725;76350;390232,68;2502
2023;6;"CDD";504;"PEPSI COLA PET 2L CAIXA C/6";3763,92;31366;188196;958510,06;5233
2023;6;"CDD";9096;"PEPSI COLA LATA 350ML SH C/12 NPAL";791,66;18849;226188;445209,44;3202
2023;6;"CDD";9085;"GUARANA CHP ANTARCTICA DIET LATA 350ML SH C/12 NPAL";626,68;14921;179052;345506,56;2338
2023;6;"CDD";9092;"TONICA ANTARCTICA DIET LATA 350ML SH C/12 NPAL";149,02;3548;42576;105442,16;1077
2023;6;"CDD";9089;"SUKITA LATA 350ML SH C/12 NPAL";293,29;6983;83796;159253,61;1763
2023;6;"CDD";9087;"SODA LIMONADA ANTARCTICA LATA 350ML SH C/12 NPAL";257,17;6123;73476;143215,87;1673
2023;6;"CDD";1164;"SUKITA UVA LATA 350ML SH C/12 NPAL";69,22;1648;19776;38084,8;556
2023;6;"CDD";9093;"PEPSI TWIST LATA 350ML SH C/12 NPAL";32,8;781;9372;18265,84;389
2023;6;"CDD";4293;"PEPSI BLACK PET 200ML SH C/12";60,67;2528;30336;39982,07;1065
2023;6;"CDD";18267;"SODA LIMONADA ANTARCTICA PET 200ML SH C/12";43,63;1818;21816;26972,56;487
2023;6;"CDD";253;"SUKITA PET 1L CAIXA C/6";450,54;7509;45054;138896,71;1606
2023;6;"CDD";22200;"TONICA ANTARCTICA PET 1 L SH C/06";69,54;1159;6954;41388,88;382
2023;6;"CDD";7703;"PEPSI COLA PET 1L CAIXA C/6";339;5650;33900;108778,2;1237
2023;6;"CDD";13486;"FUSION PET 1L SH C/06";261,36;4356;26136;129078,43;661
2023;6;"CDD";13061;"H2OH LIMONETO PET 500ML SHRINK C/12 NPAL";1085,7;18095;217140;628290,31;3599
