marca;descrição;nome_sku;link_foto;x;y;endereço
Lipton Ice Tea Pêssego;Regular - Frontal;Lata Std 340ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/9d0be4193b474f0629f7ba0d0b895f23.png;3570;17;data\img\LiptonIceTeaPessego_LataStd340ml.png
Bohemia Puro Malte;OW - Esquerda;Caixa de Transporte Garrafa Vidro 12 x 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/5eb06179a78e944009015188c06e4bb2.png;1140;18;data\img\BohemiaPuroMalte_CaixadeTransporteGarrafaVidro12x600ml.png
Wäls Lager;Regular - Frontal;Bottle in Bottle 12L;https://www.catalogoambev.com.br/images/uploads/artes-finais/5dc629957c23622fbc6c1083cf54f030.png;1715;18;data\img\WälsLager_BottleinBottle12L.png
Colorado Guanabara;Com espuma;Acessório Caldereta 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c6822e3bbf76befab2b65e9393fece29.png;1965;18;data\img\ColoradoGuanabara_AcessorioCaldereta350ml.png
Colorado Berthô;Com espuma;Acessório Caldereta 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c9eff51eb1fc8361048bd1d146519565.png;1985;18;data\img\ColoradoBertho_AcessorioCaldereta350ml.png
Patagonia IPA;Suada - Frontal;Garrafa Vidro 740ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/b04674c34d8bec1ec77e84c7bab44078.png;2455;18;data\img\PatagoniaIPA_GarrafaVidro740ml.png
Leffe Blonde;Com espuma;Acessório Cálice 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/38bfa1be214180cd9ee19dfa16714a69.png;2540;18;data\img\LeffeBlonde_AcessorioCalice330ml.png
Norteña;Regular - Esquerda;Caixa de Transporte Garrafa Vidro 12 x 960ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/163300ff353e207474d79efb0ca16e02.png;2695;18;data\img\Norteña_CaixadeTransporteGarrafaVidro12x960ml.png
Guaraná Antarctica;Suada - Frontal;Garrafa Vidro 290ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/4e64de6780999018a8f79111a87ed000.png;2945;18;data\img\GuaranaAntarctica_GarrafaVidro290ml.png
Pepsi Cola;Regular - Frontal;Garrafa Pet 200ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c0880e8bc816cddd6064bbcc2613afb6.png;3025;18;data\img\PepsiCola_GarrafaPet200ml.png
H2OH Limão;Suada - Frontal;Garrafa Pet 500ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/d9fe6486c3a2ca08422367bde791c4af.png;3160;18;data\img\H2OHLimao_GarrafaPet500ml.png
Brahma Chopp;Multipack - Direita;Shrink Lata Sleek 20 x 310ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/d5d17fee39f8054430472fca5f603ec5.png;515;19;data\img\BrahmaChopp_ShrinkLataSleek20x310ml.png
Bohemia Puro Malte;Multipack - Esquerda;Shrink Lata Sleek 15 x 310ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/3ef37387799d1f2ea28fb9b07baac7cd.png;1050;19;data\img\BohemiaPuroMalte_ShrinkLataSleek15x310ml.png
Bohemia Puro Malte;Suada - Frontal;Garrafa Vidro 300ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/37456f8e85eb5ad48c225bc4537ebfb6.png;1095;19;data\img\BohemiaPuroMalte_GarrafaVidro300ml.png
Norteña;Kit Garrafa e Taça;Acessório Garrafa e Taça 310ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/76c4bac9701280742fba7386c304917e.png;2690;19;data\img\Norteña_AcessorioGarrafaeTaca310ml.png
Spaten;Regular - Esquerda;Caixa de Transporte Garrafa Vidro 12 x 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/8621e2fe13232b4efbc451f39cc421fc.png;2815;19;data\img\Spaten_CaixadeTransporteGarrafaVidro12x600ml.png
Guaraná Antarctica;Suada - Frontal;Garrafa Pet 2,25L;https://www.catalogoambev.com.br/images/uploads/artes-finais/360986727709485824a595e9fddc91d0.png;2910;19;data\img\GuaranaAntarctica_GarrafaPet225L.png
Gatorade Tangerina;Suada - Frontal;Garrafa Pet 500ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/7a9168034e6a26061d4dde3802b08f79.png;3510;19;data\img\GatoradeTangerina_GarrafaPet500ml.png
Gatorade Laranja;Suada - Frontal;Garrafa Pet 500ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/f42297c591ebbfbf29cbfcde40b70ba4.png;3525;19;data\img\GatoradeLaranja_GarrafaPet500ml.png
Beats GT;Regular - Esquerda;Shrink Lata Sleek 15 x 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/0c05cd043f211fb7d1f5c71630fdda2a.png;300;20;data\img\BeatsGT_ShrinkLataSleek15x269ml.png
Mike's Hard Lemonade Suco de Limão;Regular - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/3c01caf81ad43ceb67a3fbd222847598.png;415;20;data\img\MikesHardLemonadeSucodeLimao_LataSleek269ml.png
Brahma Extra Red Lager;Suada - Frontal;Garrafa Vidro 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/3da11674d514ddfd9945beca7fd7fb0c.png;770;20;data\img\BrahmaExtraRedLager_GarrafaVidro355ml.png
Corona Extra;Basket - Esquerda;Pack Cartão Garrafa Vidro 6 x 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/0ed2472a063ecbc0adb7493d434ffa2d.png;1510;20;data\img\CoronaExtra_PackCartaoGarrafaVidro6x330ml.png
Hoegaarden Forbidden Fruit;Vazio;Acessório Tumbler 250ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/9191c093f2eb3dc45df6386702c20301.png;2515;20;data\img\HoegaardenForbiddenFruit_AcessorioTumbler250ml.png
Hoegaarden Grand Cru Golden;Vazio;Acessório Tumbler 250ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/af353193dcae29f40f2e8e7bf510653d.png;2525;20;data\img\HoegaardenGrandCruGolden_AcessorioTumbler250ml.png
Skol Pilsen;Suada - Frontal;Lata Std 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/db0a4b28e2f41be5fc7da395a6a25a83.png;35;21;data\img\SkolPilsen_LataStd350ml.png
Brahma Zero;Regular - Esquerda;Pack Cartão Garrafa Vidro 6 x 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c040bfe2e02bfae352a6c86d16359b09.png;700;21;data\img\BrahmaZero_PackCartaoGarrafaVidro6x355ml.png
Do Bem Maracujá;Regular - Frontal;Garrafa Cartonada 200ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/7ceeba81862e3b8ccae974d7c1057e81.png;3450;21;data\img\DoBemMaracuja_GarrafaCartonada200ml.png
Skol Pilsen;Multipack - Esquerda;Shrink Lata Sleek 12 x 410ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/6b854ef22d8dd0be642adadddd54632e.png;95;22;data\img\SkolPilsen_ShrinkLataSleek12x410ml.png
Skol Hops;Suada - Frontal;Lata Std 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/ee660e886efd433f5a055c74b7926400.png;255;22;data\img\SkolHops_LataStd350ml.png
Beats GT;Regular - Esquerda;Pack Cartão Garrafa Vidro 6 x 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/e83f4b67d4830d559d31dcb74e6f2578.png;320;22;data\img\BeatsGT_PackCartaoGarrafaVidro6x269ml.png
Brahma Chopp;Suada - Frontal;Garrafa Vidro 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/1e62043bd9ade8165958448601f907a3.png;555;22;data\img\BrahmaChopp_GarrafaVidro355ml.png
Bohemia Puro Malte;Multipack - Esquerda;Shrink Lata Std 18 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/5b5ce41c711ca65bbb3a59dccd9a23d8.png;1070;22;data\img\BohemiaPuroMalte_ShrinkLataStd18x350ml.png
Stella Artois;Regular - Direita;Pack Cartão Lata Sleek 8 x 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/668babe436eea3d4ab35dd13145fdf4d.png;1395;22;data\img\StellaArtois_PackCartaoLataSleek8x269ml.png
Serrana;Suada - Frontal;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/81d8d98fc0e88ffca17465081cc026c0.png;2055;22;data\img\Serrana_GarrafaVidro600ml.png
Franziskaner Naturtrüb;Suada - Frontal;Garrafa Vidro 500ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/b603cfc303bce96964031d6234293a74.png;2205;22;data\img\FranziskanerNaturtrub_GarrafaVidro500ml.png
Goose Island Honkers Ale;Vazio;Acessório Pint 400ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/4234d95950ea8a78b84a1f3998806047.png;2260;22;data\img\GooseIslandHonkersAle_AcessorioPint400ml.png
Do Bem Água de Coco;Regular - Frontal;Garrafa Cartonada 200ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/170cb9c864ba278ef226962f00b6f675.png;3480;22;data\img\DoBemÁguadeCoco_GarrafaCartonada200ml.png
Skol Pilsen;Multipack - Esquerda;Shrink Lata Sleek 20 x 310ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/ae420d101c058cbfd749cfddca1897b9.png;75;23;data\img\SkolPilsen_ShrinkLataSleek20x310ml.png
Brahma Duplo Malte Escura;Regular - Frontal;Lata Sleek 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/1b6fbc742457b7f88658b01814723a83.png;670;23;data\img\BrahmaDuploMalteEscura_LataSleek350ml.png
Brahma Extra Lager;Regular - Esquerda;Pack Cartão Lata Std 12 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c9f1af601921c7d11a5548d957665edd.png;740;23;data\img\BrahmaExtraLager_PackCartaoLataStd12x350ml.png
Bohemia 14 Weiss;Suada - Frontal;Garrafa Vidro 300ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/3779cbfeefab9f46766528fa5ed2bf58.png;1150;23;data\img\Bohemia14Weiss_GarrafaVidro300ml.png
Stella Artois;Regular - Direita;Pack Cartão Lata Sleek 12 x 410ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/66009f35347821e901f31693626b8781.png;1415;23;data\img\StellaArtois_PackCartaoLataSleek12x410ml.png
Stella Artois;Frontal;Bottle in Bottle 6L;https://www.catalogoambev.com.br/images/uploads/artes-finais/fe97384049124563f0a6ca5d57a0ba40.png;1450;23;data\img\StellaArtois_BottleinBottle6L.png
Polar Export;Regular - Esquerda;Shrink Lata Std 12 x 473ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/22a503b034f3d89e4f11f31cebc106b6.png;1635;23;data\img\PolarExport_ShrinkLataStd12x473ml.png
Hoegaarden Wit Blanche;Vazio;Acessório Tumbler 250ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/3c7d92dd661e39693656988a28ce1d10.png;2495;23;data\img\HoegaardenWitBlanche_AcessorioTumbler250ml.png
Quilmes;Regular - Esquerda;Shrink Garrafa* 6 x 970ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/a5eaff0d8c875da6bd51249edbf80d83.png;2660;23;data\img\Quilmes_ShrinkGarrafa6x970ml.png
Norteña;Suada - Frontal;Garrafa Vidro 960ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/34f31de82a130b6784e8c7ff027a14d2.png;2680;23;data\img\Norteña_GarrafaVidro960ml.png
Hertog Jan Dubbel ;Regular - Frontal;Garrafa Vidro 500ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/6f747294c9885da2831f2429c23527e0.png;2700;23;data\img\HertogJanDubbel_GarrafaVidro500ml.png
Sukita Uva;Regular - Frontal;Garrafa Pet 200ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/9a654a647fd6f19b31e55e64b04335ab.png;3375;23;data\img\SukitaUva_GarrafaPet200ml.png
Skol Pilsen;Multipack - Esquerda;Shrink Lata Sleek 6 x 310ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/ee0c4fdf907eb3843261f6959f878cee.png;65;24;data\img\SkolPilsen_ShrinkLataSleek6x310ml.png
Skol Puro Malte;Suada - Frontal;Garrafa Vidro 1L;https://www.catalogoambev.com.br/images/uploads/artes-finais/d462a4d7559b8924f9d3044e9dd46e08.png;245;24;data\img\SkolPuroMalte_GarrafaVidro1L.png
Mike's Hard Seltzer Pêssego;Regular - Esquerda;Pack Cartão Lata Sleek 6 x 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/13ffc80a136206c8e2b78cd24ac0e787.png;475;24;data\img\MikesHardSeltzerPessego_PackCartaoLataSleek6x269ml.png
Stella Artois;Promokit - Cálice Vintage;Kit Pack Cartão Garrafa Vidro 4 x 330ml + Cálice;https://www.catalogoambev.com.br/images/uploads/artes-finais/3dd8411a8bdc534a4a099ab84eba478a.png;1480;24;data\img\StellaArtois_KitPackCartaoGarrafaVidro4x330mlCalice.png
Leffe Blonde;Regular - Esquerda;Caixa de Transporte Garrafa Vidro 24 x 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/9ec8e3e383f848a8fe1c4eed43cc0658.png;2550;24;data\img\LeffeBlonde_CaixadeTransporteGarrafaVidro24x330ml.png
Leffe Royale;Com espuma;Acessório Cálice 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/74df50686957439b6520c9a8d2c5f379.png;2625;24;data\img\LeffeRoyale_AcessorioCalice330ml.png
Guaraná Antarctica;Suada - Frontal;Garrafa Pet 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/3073972fbde2fc1d924ab88f2f097570.png;2890;24;data\img\GuaranaAntarctica_GarrafaPet600ml.png
Tônica Antarctica;Regular - Frontal;Garrafa Vidro 290ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/b420846e795aba1246492c3ced6fb262.png;3275;24;data\img\TonicaAntarctica_GarrafaVidro290ml.png
Bohemia Puro Malte;Regular - Direita;Pack Cartão Garrafa Vidro 6 x 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/15fcb71b78bee4f5260a63924a71aab2.png;1125;25;data\img\BohemiaPuroMalte_PackCartaoGarrafaVidro6x355ml.png
Wäls Berliner;Regular - Frontal;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/0cf9f023fc72e840f98989697d741c88.png;1825;25;data\img\WälsBerliner_GarrafaVidro600ml.png
Colorado Vixnu;Com espuma;Acessório Caldereta 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/7c30f4bbd13e2a9f372c6db551f9ea27.png;1955;25;data\img\ColoradoVixnu_AcessorioCaldereta350ml.png
Patagonia 24.7;Suada - Frontal;Garrafa Vidro 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/6708ac3f302f633d55893abdec54b748.png;2425;25;data\img\Patagonia247_GarrafaVidro355ml.png
Pepsi Cola;Regular - Esquerda;Shrink Lata Sleek 6 x 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/9bd1d1261241a754064e8f1a3625318b.png;3015;25;data\img\PepsiCola_ShrinkLataSleek6x269ml.png
Sukita Laranja;Regular - Frontal;Garrafa Pet 200ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/4b362d79710c41e1640f77b9d471c4cf.png;3330;25;data\img\SukitaLaranja_GarrafaPet200ml.png
Antarctica Pilsen;Suada - Frontal;Lata Std 473ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/3a9e268eb53be6f1ca81bafb97545c21.png;820;26;data\img\AntarcticaPilsen_LataStd473ml.png
Original;Regular - Frontal;Lata Std 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/8259bfe5491c2c53fa058ee21c55e336.png;950;26;data\img\Original_LataStd350ml.png
Bohemia Puro Malte;Multipack - Esquerda;Shrink Lata Sleek 12 x 410ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/3c41b3049285c71be66b28e2b66a3945.png;1075;26;data\img\BohemiaPuroMalte_ShrinkLataSleek12x410ml.png
Beck's;Regular - direita;Pack Cartão Garrafa Vidro 6 x 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/60e86494c3ec68453bb0e40ff2921770.png;1585;26;data\img\Becks_PackCartaoGarrafaVidro6x330ml.png
Colorado Kuyá;Suada - Frontal;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/379362e619acea955306192ba8cabf2f.png;2040;26;data\img\ColoradoKuya_GarrafaVidro600ml.png
Guaraná Antarctica;Suada - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/626081a163883dd11d9f9700cbd54f12.png;2850;26;data\img\GuaranaAntarctica_LataSleek269ml.png
Do Bem Água de Coco;Regular - Frontal;Garrafa Cartonada 1L;https://www.catalogoambev.com.br/images/uploads/artes-finais/7a68ee29a8fdb55bea68350369f94894.png;3485;26;data\img\DoBemÁguadeCoco_GarrafaCartonada1L.png
Gatorade Zero Laranja;Regular - Frontal;Garrafa Pet 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/103f3ed99a32aab7cdc12849942fe6ca.png;3545;26;data\img\GatoradeZeroLaranja_GarrafaPet350ml.png
Goose Island Sofie;Regular - Frontal;Garrafa Vidro 765ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/b0a5c3535837f56875e12c37f0d828c2.png;2270;27;data\img\GooseIslandSofie_GarrafaVidro765ml.png
Patagonia IPA;Regular - Frontal;Lata Std 473ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/656dea821c11484a5edfd38601d330e6.png;2440;27;data\img\PatagoniaIPA_LataStd473ml.png
Hoegaarden Wit Blanche;Regular - Frontal;Garrafa Vidro 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/31413028d0b62e55a5fe7172499bc3a7.png;2490;27;data\img\HoegaardenWitBlanche_GarrafaVidro330ml.png
Leffe Rituel 9º;Suada - Frontal;Garrafa Vidro 250ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/6b055cf70891b59e1dcd2e5dbba5a9a5.png;2595;27;data\img\LeffeRituel9º_GarrafaVidro250ml.png
Lipton Ice Tea Pêssego;Regular - Frontal;Garrafa Pet 200ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/4af2dc54683478a7fcc3ea9d06913dc0.png;3575;27;data\img\LiptonIceTeaPessego_GarrafaPet200ml.png
Ambev;Regular - Direita;Garrafeira 24 x 300ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/df5ad13b79f00a2f4f16ba74737964ba.png;10;28;data\img\Ambev_Garrafeira24x300ml.png
Skol Puro Malte;Suada - Frontal;Lata Sleek 410ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c542724be6a0d4a086deb957a58e804e.png;160;28;data\img\SkolPuroMalte_LataSleek410ml.png
Brahma Duplo Malte Escura;Regular - Direita;Pack Cartão Lata Sleek 8 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/f070e7093e092a06599a33be1c09bb56.png;675;28;data\img\BrahmaDuploMalteEscura_PackCartaoLataSleek8x350ml.png
Antarctica Pilsen;Suada - Frontal;Garrafa Vidro 300ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/825f567e070a2f49847fc0829a15eb2f.png;855;28;data\img\AntarcticaPilsen_GarrafaVidro300ml.png
Antarctica Subzero;Gelada - Frontal;Lata Std 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/f24d73e0d7b552efe1c0b5bde46b085a.png;905;28;data\img\AntarcticaSubzero_LataStd350ml.png
Colorado Ribeirão Lager;Regular - Esquerda;Pack Cartão Lata Sleek 8 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/08b1f516cb85ef5be0931e4003a79302.png;1855;28;data\img\ColoradoRibeiraoLager_PackCartaoLataSleek8x350ml.png
Colorado Eugênia;Com espuma;Acessório Caldereta 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/f7ec9db78236dba41273d2c82f3c04ae.png;1995;28;data\img\ColoradoEugenia_AcessorioCaldereta350ml.png
Do Bem Caju;Regular - Frontal;Garrafa Cartonada 1L;https://www.catalogoambev.com.br/images/uploads/artes-finais/78be131205e0ba08ceb99bf2ad94d80a.png;3440;28;data\img\DoBemCaju_GarrafaCartonada1L.png
Skol Pilsen;Suada - Frontal;Lata Std 473ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/dc0d93a4f340999b958a9cf4f5635926.png;45;29;data\img\SkolPilsen_LataStd473ml.png
Antarctica Pilsen;Suada - Frontal;Lata Std 550ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/ad11ec72660e3d7a5bfd1df8c0bad83c.png;825;29;data\img\AntarcticaPilsen_LataStd550ml.png
Stella Artois;Suada - Frontal;Lata Sleek 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/a95524c0313559549887c9746a9af9df.png;1380;29;data\img\StellaArtois_LataSleek350ml.png
Wäls Alambique County;Suada - Frontal;Garrafa Vidro 375ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/750855cd603ecd6f0dfa46a366791fa0.png;1775;29;data\img\WälsAlambiqueCounty_GarrafaVidro375ml.png
Patagonia Amber Lager;Copo com espuma;Acessório Copo 430ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/cd81a0a37ef450102ab86dfb8b789a9f.png;2325;29;data\img\PatagoniaAmberLager_AcessorioCopo430ml.png
Do Bem Limão;Regular - Frontal;Garrafa Cartonada 1L;https://www.catalogoambev.com.br/images/uploads/artes-finais/43bb38ea8fa839d94f1e396905fb917d.png;3465;29;data\img\DoBemLimao_GarrafaCartonada1L.png
Antarctica Pilsen;Suada - Frontal;Lata Std 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/fcada7e2d67a2d13931cb829577c343c.png;815;30;data\img\AntarcticaPilsen_LataStd350ml.png
Antarctica Pilsen;Regular - Esquerda;Shrink Lata Std 12 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/d151c012c2fc73acf7d6485854b0260f.png;835;30;data\img\AntarcticaPilsen_ShrinkLataStd12x350ml.png
Goose Island IPA;Vazio;Acessório Pint 400ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/42873cf0afe64d6600cd964cf42144a7.png;2240;30;data\img\GooseIslandIPA_AcessorioPint400ml.png
Guaraná Antarctica;Multipack - Esquerda;Shrink Lata Sleek 6 x 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/daeccffb7ae1947d8a96a0602522645f.png;2865;30;data\img\GuaranaAntarctica_ShrinkLataSleek6x269ml.png
Soda Antarctica;Regular - Frontal;Garrafa Pet 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/0623e3580a21f7183ce7029b12c792cf.png;3215;30;data\img\SodaAntarctica_GarrafaPet600ml.png
Skol Pilsen;Regular - Esquerda;Shrink Lata Std 12 x 473ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/76875eb7b0c73de290ca9824a78c02c5.png;105;31;data\img\SkolPilsen_ShrinkLataStd12x473ml.png
Brahma Chopp;Multipack - Direita;Shrink Lata Sleek 6 x 310ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c56c74a57b529f5febfef65192d193dc.png;505;31;data\img\BrahmaChopp_ShrinkLataSleek6x310ml.png
Budweiser;Regular - Frontal;Garrafa Vidro 990ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/0e378ae7e3a7ff17e65fafa0975abb41.png;1305;31;data\img\Budweiser_GarrafaVidro990ml.png
Colorado Nassau;Suada c/ tampa;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/35b3cbc90881bf6720eca7e54b95a6fe.png;2010;31;data\img\ColoradoNassau_GarrafaVidro600ml.png
Colorado Nassau;Com espuma;Acessório Caldereta 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/f844ffbb950ee564fd17b2ef2ba79b6d.png;2015;31;data\img\ColoradoNassau_AcessorioCaldereta350ml.png
Patagonia Bohemian Pilsener;Suada - Frontal;Garrafa Vidro 740ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c246c61caabc9082c50dd182ec0dbd4f.png;2355;31;data\img\PatagoniaBohemianPilsener_GarrafaVidro740ml.png
Leffe Blonde;Suada - Frontal;Garrafa Vidro 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/52f856661f94650bc9421ed559eeb789.png;2535;31;data\img\LeffeBlonde_GarrafaVidro330ml.png
Guaraná Antarctica;Suada - Frontal;Garrafa Pet 2L;https://www.catalogoambev.com.br/images/uploads/artes-finais/4bddaa2311de7e142511ecde1a88daeb.png;2905;31;data\img\GuaranaAntarctica_GarrafaPet2L.png
Do Bem Uva;Regular - Frontal;Garrafa Cartonada 1L;https://www.catalogoambev.com.br/images/uploads/artes-finais/96113a0ba285934df1892f39538ccca4.png;3475;31;data\img\DoBemUva_GarrafaCartonada1L.png
Skol Pilsen;Suada - Frontal;Lata Std 550ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/f16f10997203b3d07de53b65b8451d0a.png;50;32;data\img\SkolPilsen_LataStd550ml.png
Antarctica Subzero;Gelada - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/b509483dd3cc424ce5b1241f1d0bd4c4.png;900;32;data\img\AntarcticaSubzero_LataSleek269ml.png
Bohemia Puro Malte;Suada - Frontal;Acessório Tulipa 300ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/0efa3642a3cb22103a585039ddf6b229.png;1130;32;data\img\BohemiaPuroMalte_AcessorioTulipa300ml.png
Stella Artois;Regular - Direita;Pack Cartão Garrafa Vidro 6 x 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/cb9da844fe23ca7e34c4fa9ed4cbf750.png;1440;32;data\img\StellaArtois_PackCartaoGarrafaVidro6x330ml.png
Magnífica do Maranhão;Suada - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/415b8119c351e54b0a6cd14838960baf.png;2060;32;data\img\MagnificadoMaranhao_LataSleek269ml.png
Guaraná Antarctica Sem Açúcares;Suada - Frontal;Garrafa Pet 1,5L;https://www.catalogoambev.com.br/images/uploads/artes-finais/5b56bd3157655557cb6fcea32547d7ea.png;2975;32;data\img\GuaranaAntarcticaSemAcucares_GarrafaPet15L.png
Tônica Antarctica Zero;Regular - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/be9549f1403c34ef11d2fcbd6f20b4b4.png;3280;32;data\img\TonicaAntarcticaZero_LataSleek269ml.png
Do Bem Morango;Regular - Frontal;Garrafa Cartonada 200ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/5efc1739b488ec33e743083a1ad8b8dc.png;3460;32;data\img\DoBemMorango_GarrafaCartonada200ml.png
Mike's Hard Lemonade Pitaia;Regular - Frontal;Garrafa Vidro 275ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/8f0d39eb95a7a9fb4024225ed36741f2.png;435;33;data\img\MikesHardLemonadePitaia_GarrafaVidro275ml.png
Brahma Duplo Malte;Suada - Frontal;Garrafa Vidro 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/cd76d6ba7d31e47c407f0f17db54fdaa.png;640;33;data\img\BrahmaDuploMalte_GarrafaVidro330ml.png
Brahma Extra Lager;Suada - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/dba5667fba215541e9737d512437a418.png;725;33;data\img\BrahmaExtraLager_LataSleek269ml.png
Corona Cero Sunbrew;Suada - Frontal;Garrafa Vidro 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/8fd33265bb7651ef8651d4296841345d.png;1550;33;data\img\CoronaCeroSunbrew_GarrafaVidro330ml.png
