marca;descrição;nome_sku;link_foto;x;y;endereço
Bohemia Puro Malte;Regular - Esquerda;Shrink Lata Std 12 x 473ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/60ba18e6c3a6ecbfaed3188cfce78c8c.png;1085;4;data\img\BohemiaPuroMalte_ShrinkLataStd12x473ml.png
Bohemia 14 Weiss;Com espuma;Acessório Weizen;https://www.catalogoambev.com.br/images/uploads/artes-finais/5115fb5128ad20efd803aa8592b17830.png;1155;4;data\img\Bohemia14Weiss_AcessorioWeizen.png
Serramalte;Suada - Frontal;Garrafa Vidro 300ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/1f6933a0c87411e01dcfa931d56cc7dd.png;1690;4;data\img\Serramalte_GarrafaVidro300ml.png
Colorado Demoiselle;Com espuma;Acessório Caldereta 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c9ba054df2eb730c6392e5b60781df45.png;1925;4;data\img\ColoradoDemoiselle_AcessorioCaldereta350ml.png
Goose Island Hazy IPA;Suada - Frontal;Garrafa Vidro 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/82155ae979425860b6ea8fd84f19120a.png;2220;4;data\img\GooseIslandHazyIPA_GarrafaVidro355ml.png
Leffe Royale;Regular - Esquerda;Caixa de Transporte Garrafa Vidro 24 x 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/593db3afda1ea2adf1b3ec0afce65863.png;2630;4;data\img\LeffeRoyale_CaixadeTransporteGarrafaVidro24x330ml.png
Spaten;Regular - Esquerda;Pack Cartão Garrafa Vidro 6 x 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/1dcc5cc18c60c33f6f675e44bc4f7ef7.png;2810;4;data\img\Spaten_PackCartaoGarrafaVidro6x355ml.png
Pepsi Cola;Regular - Esquerda;Shrink Lata Std 12 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/9e4c66562b534a92942b33ce33e64ec2.png;3020;4;data\img\PepsiCola_ShrinkLataStd12x350ml.png
Baré Guaraná;Regular - Frontal;Garrafa Pet 1L;https://www.catalogoambev.com.br/images/uploads/artes-finais/2ee7fac582642de1572f06195f523f5a.png;3410;4;data\img\BareGuarana_GarrafaPet1L.png
Brahma Duplo Malte;Promokit - Frontal;Kit Pack Cartão Lata 2 x 350ml + 01 Copo 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/5784386df71677bef72ea7cde983d967.png;665;5;data\img\BrahmaDuploMalte_KitPackCartaoLata2x350ml01Copo350ml.png
Bohemia Puro Malte;Suada - Frontal;Lata Std 473ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/3abb62bacc3a9555b738f4e841d63002.png;1035;5;data\img\BohemiaPuroMalte_LataStd473ml.png
Stella Artois Sem Glúten;Regular - Esquerda;Pack Cartão Garrafa Vidro 6 x 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/d956577b01e5b714a385d38770c7151b.png;1490;5;data\img\StellaArtoisSemGluten_PackCartaoGarrafaVidro6x330ml.png
Patagonia Bohemian Pilsener;Suada - Frontal;Garrafa Vidro 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/0fac9ca6aad0d8485c1f1c76ecf5be00.png;2350;5;data\img\PatagoniaBohemianPilsener_GarrafaVidro355ml.png
Leffe Ruby;Suada - Frontal;Garrafa Vidro 750ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/3e409c49b5f2476b3146fe9521247407.png;2635;5;data\img\LeffeRuby_GarrafaVidro750ml.png
Bohemia Magna Pils;Com espuma;Acessório Chopp;https://www.catalogoambev.com.br/images/uploads/artes-finais/ddcab9a2f257c99a40cbaaf9aee32ea6.png;1200;6;data\img\BohemiaMagnaPils_AcessorioChopp.png
Stella Artois;Regular - Direita;Caixa de Transporte Garrafa Vidro 12 x 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/5d47aaefa0a9f8a0a19d901b512e5bde.png;1445;6;data\img\StellaArtois_CaixadeTransporteGarrafaVidro12x600ml.png
Wäls Session Citra;Regular - Frontal;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/f1f56a7e0eec04e88adc13ab0c099928.png;1725;6;data\img\WälsSessionCitra_GarrafaVidro600ml.png
Wäls Belgian Witte;Suada - Frontal;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/cd168ad312c53f19008b37e7f1a15ae4.png;1765;6;data\img\WälsBelgianWitte_GarrafaVidro600ml.png
Magnífica do Maranhão;Regular - Esquerda;Shrink Lata Sleek 15 x 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/7b1f79587dd1a36697a8f21a0e5875b3.png;2065;6;data\img\MagnificadoMaranhao_ShrinkLataSleek15x269ml.png
Franziskaner Naturtrüb;Com espuma;Acessório Chopp 500ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/08606ff87fd6051965f660e4e6dd7a97.png;2210;6;data\img\FranziskanerNaturtrub_AcessorioChopp500ml.png
Pepsi Cola;Suada - Frontal;Garrafa Pet 1,5L;https://www.catalogoambev.com.br/images/uploads/artes-finais/adc0b0ee4e575f9bd9013482c0c91e5d.png;3050;6;data\img\PepsiCola_GarrafaPet15L.png
Budweiser;GPI - Esquerda;Pack Cartão Lata Sleek 8 x 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/9118c392584fb54e82273a3de5c50966.png;1230;7;data\img\Budweiser_PackCartaoLataSleek8x269ml.png
Budweiser;Suada - Frontal;Garrafa Vidro 550ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c76d772a0009a526cabc3940cffc226a.png;1295;7;data\img\Budweiser_GarrafaVidro550ml.png
Patagonia IPA;Promokit - Latas 350 Sleek - Ipa - Pilsener - Lager - Weisse;Kit Pack Cartão Lata Sleek 4 x 350ml + 1 Copo 473ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/fb115e0daa490563533787215bcf872a.png;2460;7;data\img\PatagoniaIPA_KitPackCartaoLataSleek4x350ml1Copo473ml.png
Guaraná Antarctica Sem Açúcares;Suada - Frontal;Garrafa Pet 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c6c7121c032c91efa2eac99e746e2dfc.png;2965;7;data\img\GuaranaAntarcticaSemAcucares_GarrafaPet600ml.png
Franziskaner Dunkel;Com espuma;Acessório Chopp 500ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/4ddc78b0ac3ed44fe3d52d908ef728eb.png;2180;8;data\img\FranziskanerDunkel_AcessorioChopp500ml.png
Bucanero Fuerte;Regular - Esquerda;Caixa de Transporte Garrafa Vidro 24 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/7e9b43c75647a964166cd4be207488c1.png;2720;8;data\img\BucaneroFuerte_CaixadeTransporteGarrafaVidro24x350ml.png
